Office,Office链接,Name,Party
U.S. House New York District 7,https://ballotpedia.org/New_York's_7th_Congressional_District,Nydia Velazquez,Democratic
U.S. House New York District 8,https://ballotpedia.org/New_York's_8th_Congressional_District,Hakeem Jeffries,Democratic
U.S. House New York District 9,https://ballotpedia.org/New_York's_9th_Congressional_District,Yvette D. Clarke,Democratic
U.S. House New York District 10,https://ballotpedia.org/New_York's_10th_Congressional_District,Daniel Goldman,Democratic
U.S. House New York District 11,https://ballotpedia.org/New_York's_11th_Congressional_District,Nicole Malliotakis,Republican
U.S. House New York District 12,https://ballotpedia.org/New_York's_12th_Congressional_District,Jerrold Nadler,Democratic
U.S. House New York District 13,https://ballotpedia.org/New_York's_13th_Congressional_District,Adriano Espaillat,Democratic
U.S. House New York District 14,https://ballotpedia.org/New_York's_14th_Congressional_District,Alexandria Ocasio-Cortez,Democratic
U.S. House New York District 15,https://ballotpedia.org/New_York's_15th_Congressional_District,Ritchie Torres,Democratic
U.S. House New York District 16,https://ballotpedia.org/New_York's_16th_Congressional_District,Jamaal Bowman,Democratic
U.S. House New York District 17,https://ballotpedia.org/New_York's_17th_Congressional_District,Michael Lawler,Republican
U.S. House New York District 18,https://ballotpedia.org/New_York's_18th_Congressional_District,Pat Ryan,Democratic
U.S. House New York District 19,https://ballotpedia.org/New_York's_19th_Congressional_District,Marcus Molinaro,Republican
U.S. House New York District 20,https://ballotpedia.org/New_York's_20th_Congressional_District,Paul Tonko,Democratic
U.S. House New York District 21,https://ballotpedia.org/New_York's_21st_Congressional_District,Elise Stefanik,Republican
U.S. House New York District 22,https://ballotpedia.org/New_York's_22nd_Congressional_District,Brandon Williams,Republican
U.S. House New York District 23,https://ballotpedia.org/New_York's_23rd_Congressional_District,Nick Langworthy,Republican
U.S. House New York District 24,https://ballotpedia.org/New_York's_24th_Congressional_District,Claudia Tenney,Republican
U.S. House New York District 25,https://ballotpedia.org/New_York's_25th_Congressional_District,Joseph Morelle,Democratic
U.S. House New York District 26,https://ballotpedia.org/New_York's_26th_Congressional_District,Brian Higgins,Democratic
U.S. House Non-Voting Delegate District of Columbia,https://ballotpedia.org/District_of_Columbia%27s_At-Large_Congressional_District,Eleanor Holmes Norton,Democratic
U.S. House North Carolina District 1,https://ballotpedia.org/North_Carolina's_1st_Congressional_District,Donald Davis,Democratic
U.S. House North Carolina District 2,https://ballotpedia.org/North_Carolina's_2nd_Congressional_District,Deborah Ross,Democratic
U.S. House North Carolina District 3,https://ballotpedia.org/North_Carolina's_3rd_Congressional_District,Gregory Murphy,Republican
U.S. House North Carolina District 4,https://ballotpedia.org/North_Carolina's_4th_Congressional_District,Valerie Foushee,Democratic
U.S. House North Carolina District 5,https://ballotpedia.org/North_Carolina's_5th_Congressional_District,Virginia Foxx,Republican
U.S. House North Carolina District 6,https://ballotpedia.org/North_Carolina's_6th_Congressional_District,Kathy Manning,Democratic
U.S. House North Carolina District 7,https://ballotpedia.org/North_Carolina's_7th_Congressional_District,David Rouzer,Republican
U.S. House North Carolina District 8,https://ballotpedia.org/North_Carolina's_8th_Congressional_District,Dan Bishop,Republican
U.S. House North Carolina District 9,https://ballotpedia.org/North_Carolina's_9th_Congressional_District,Richard Hudson,Republican
U.S. House North Carolina District 10,https://ballotpedia.org/North_Carolina's_10th_Congressional_District,Patrick T. McHenry,Republican
U.S. House North Carolina District 11,https://ballotpedia.org/North_Carolina's_11th_Congressional_District,Chuck Edwards,Republican
U.S. House North Carolina District 12,https://ballotpedia.org/North_Carolina's_12th_Congressional_District,Alma Adams,Democratic
U.S. House North Carolina District 13,https://ballotpedia.org/North_Carolina's_13th_Congressional_District,Wiley Nickel,Democratic
U.S. House North Carolina District 14,https://ballotpedia.org/North_Carolina's_14th_Congressional_District,Jeff Jackson,Democratic
U.S. House North Dakota At-large District,https://ballotpedia.org/North_Dakota's_At-Large_Congressional_District,Kelly Armstrong,Republican
U.S. House Northern Mariana Islands At-large District,https://ballotpedia.org/Northern_Mariana_Islands%27_At-Large_Congressional_District,Gregorio Kilili Camacho Sablan,Democratic
U.S. House Ohio District 1,https://ballotpedia.org/Ohio's_1st_Congressional_District,Greg Landsman,Democratic
U.S. House Ohio District 2,https://ballotpedia.org/Ohio's_2nd_Congressional_District,Brad Wenstrup,Republican
U.S. House Ohio District 3,https://ballotpedia.org/Ohio's_3rd_Congressional_District,Joyce Beatty,Democratic
U.S. House Ohio District 4,https://ballotpedia.org/Ohio's_4th_Congressional_District,Jim Jordan,Republican
U.S. House Ohio District 5,https://ballotpedia.org/Ohio's_5th_Congressional_District,Bob Latta,Republican
U.S. House Ohio District 6,https://ballotpedia.org/Ohio's_6th_Congressional_District,Bill Johnson,Republican
U.S. House Ohio District 7,https://ballotpedia.org/Ohio's_7th_Congressional_District,Max Miller,Republican
U.S. House Ohio District 8,https://ballotpedia.org/Ohio's_8th_Congressional_District,Warren Davidson,Republican
U.S. House Ohio District 9,https://ballotpedia.org/Ohio's_9th_Congressional_District,Marcy Kaptur,Democratic
U.S. House Ohio District 10,https://ballotpedia.org/Ohio's_10th_Congressional_District,Michael Turner,Republican
U.S. House Ohio District 11,https://ballotpedia.org/Ohio's_11th_Congressional_District,Shontel Brown,Democratic
U.S. House Ohio District 12,https://ballotpedia.org/Ohio's_12th_Congressional_District,Troy Balderson,Republican
U.S. House Ohio District 13,https://ballotpedia.org/Ohio's_13th_Congressional_District,Emilia Sykes,Democratic
U.S. House Ohio District 14,https://ballotpedia.org/Ohio's_14th_Congressional_District,David Joyce,Republican
U.S. House Ohio District 15,https://ballotpedia.org/Ohio's_15th_Congressional_District,Mike Carey,Republican
U.S. House Oklahoma District 1,https://ballotpedia.org/Oklahoma's_1st_Congressional_District,Kevin Hern,Republican
U.S. House Oklahoma District 2,https://ballotpedia.org/Oklahoma's_2nd_Congressional_District,Josh Brecheen,Republican
U.S. House Oklahoma District 3,https://ballotpedia.org/Oklahoma's_3rd_Congressional_District,Frank Lucas,Republican
U.S. House Oklahoma District 4,https://ballotpedia.org/Oklahoma's_4th_Congressional_District,Tom Cole,Republican
U.S. House Oklahoma District 5,https://ballotpedia.org/Oklahoma's_5th_Congressional_District,Stephanie Bice,Republican
U.S. House Oregon District 1,https://ballotpedia.org/Oregon's_1st_Congressional_District,Suzanne Bonamici,Democratic
U.S. House Oregon District 2,https://ballotpedia.org/Oregon's_2nd_Congressional_District,Cliff Bentz,Republican
U.S. House Oregon District 3,https://ballotpedia.org/Oregon's_3rd_Congressional_District,Earl Blumenauer,Democratic
U.S. House Oregon District 4,https://ballotpedia.org/Oregon's_4th_Congressional_District,Val Hoyle,Democratic
U.S. House Oregon District 5,https://ballotpedia.org/Oregon's_5th_Congressional_District,Lori Chavez-DeRemer,Republican
U.S. House Oregon District 6,https://ballotpedia.org/Oregon's_6th_Congressional_District,Andrea Salinas,Democratic
U.S. House Pennsylvania District 1,https://ballotpedia.org/Pennsylvania's_1st_Congressional_District,Brian Fitzpatrick,Republican
U.S. House Pennsylvania District 2,https://ballotpedia.org/Pennsylvania's_2nd_Congressional_District,Brendan Boyle,Democratic
U.S. House Pennsylvania District 3,https://ballotpedia.org/Pennsylvania's_3rd_Congressional_District,Dwight Evans,Democratic
U.S. House Pennsylvania District 4,https://ballotpedia.org/Pennsylvania's_4th_Congressional_District,Madeleine Dean,Democratic
U.S. House Pennsylvania District 5,https://ballotpedia.org/Pennsylvania's_5th_Congressional_District,Mary Gay Scanlon,Democratic
U.S. House Pennsylvania District 6,https://ballotpedia.org/Pennsylvania's_6th_Congressional_District,Chrissy Houlahan,Democratic
U.S. House Pennsylvania District 7,https://ballotpedia.org/Pennsylvania's_7th_Congressional_District,Susan Wild,Democratic
U.S. House Pennsylvania District 8,https://ballotpedia.org/Pennsylvania's_8th_Congressional_District,Matt Cartwright,Democratic
U.S. House Pennsylvania District 9,https://ballotpedia.org/Pennsylvania's_9th_Congressional_District,Dan Meuser,Republican
U.S. House Pennsylvania District 10,https://ballotpedia.org/Pennsylvania's_10th_Congressional_District,Scott Perry,Republican
U.S. House Pennsylvania District 11,https://ballotpedia.org/Pennsylvania's_11th_Congressional_District,Lloyd Smucker,Republican
U.S. House Pennsylvania District 12,https://ballotpedia.org/Pennsylvania's_12th_Congressional_District,Summer Lee,Democratic
U.S. House Pennsylvania District 13,https://ballotpedia.org/Pennsylvania's_13th_Congressional_District,John Joyce,Republican
U.S. House Pennsylvania District 14,https://ballotpedia.org/Pennsylvania's_14th_Congressional_District,Guy Reschenthaler,Republican
U.S. House Pennsylvania District 15,https://ballotpedia.org/Pennsylvania's_15th_Congressional_District,Glenn Thompson,Republican
U.S. House Pennsylvania District 16,https://ballotpedia.org/Pennsylvania's_16th_Congressional_District,Mike Kelly,Republican
U.S. House Pennsylvania District 17,https://ballotpedia.org/Pennsylvania's_17th_Congressional_District,Christopher Deluzio,Democratic
U.S. House Rhode Island District 1,https://ballotpedia.org/Rhode_Island's_1st_Congressional_District,Gabe Amo,Democratic
U.S. House Rhode Island District 2,https://ballotpedia.org/Rhode_Island's_2nd_Congressional_District,Seth Magaziner,Democratic
U.S. House South Carolina District 1,https://ballotpedia.org/South_Carolina's_1st_Congressional_District,Nancy Mace,Republican
U.S. House South Carolina District 2,https://ballotpedia.org/South_Carolina's_2nd_Congressional_District,Joe Wilson,Republican
U.S. House South Carolina District 3,https://ballotpedia.org/South_Carolina's_3rd_Congressional_District,Jeff Duncan,Republican
U.S. House South Carolina District 4,https://ballotpedia.org/South_Carolina's_4th_Congressional_District,William Timmons,Republican
U.S. House South Carolina District 5,https://ballotpedia.org/South_Carolina's_5th_Congressional_District,Ralph Norman,Republican
U.S. House South Carolina District 6,https://ballotpedia.org/South_Carolina's_6th_Congressional_District,James Clyburn,Democratic
U.S. House South Carolina District 7,https://ballotpedia.org/South_Carolina's_7th_Congressional_District,Russell Fry,Republican
U.S. House South Dakota At-large District,https://ballotpedia.org/South_Dakota's_At-Large_Congressional_District,Dusty Johnson,Republican
U.S. House Tennessee District 1,https://ballotpedia.org/Tennessee's_1st_Congressional_District,Diana Harshbarger,Republican
U.S. House Tennessee District 2,https://ballotpedia.org/Tennessee's_2nd_Congressional_District,Tim Burchett,Republican
U.S. House Tennessee District 3,https://ballotpedia.org/Tennessee's_3rd_Congressional_District,Charles J. Fleischmann,Republican
U.S. House Tennessee District 4,https://ballotpedia.org/Tennessee's_4th_Congressional_District,Scott DesJarlais,Republican
U.S. House Tennessee District 5,https://ballotpedia.org/Tennessee's_5th_Congressional_District,Andy Ogles,Republican
U.S. House Tennessee District 6,https://ballotpedia.org/Tennessee's_6th_Congressional_District,John Rose,Republican
U.S. House Tennessee District 7,https://ballotpedia.org/Tennessee's_7th_Congressional_District,Mark Green,Republican
U.S. House Tennessee District 8,https://ballotpedia.org/Tennessee's_8th_Congressional_District,David Kustoff,Republican
U.S. House Tennessee District 9,https://ballotpedia.org/Tennessee's_9th_Congressional_District,Steve Cohen,Democratic
U.S. House Texas District 1,https://ballotpedia.org/Texas'_1st_Congressional_District,Nathaniel Moran,Republican
U.S. House Texas District 2,https://ballotpedia.org/Texas'_2nd_Congressional_District,Daniel Crenshaw,Republican
U.S. House Texas District 3,https://ballotpedia.org/Texas'_3rd_Congressional_District,Keith Self,Republican
U.S. House Texas District 4,https://ballotpedia.org/Texas'_4th_Congressional_District,Pat Fallon,Republican
U.S. House Texas District 5,https://ballotpedia.org/Texas'_5th_Congressional_District,Lance Gooden,Republican
U.S. House Texas District 6,https://ballotpedia.org/Texas'_6th_Congressional_District,Jake Ellzey,Republican
U.S. House Texas District 7,https://ballotpedia.org/Texas'_7th_Congressional_District,Lizzie Pannill Fletcher,Democratic
U.S. House Texas District 8,https://ballotpedia.org/Texas'_8th_Congressional_District,Morgan Luttrell,Republican
U.S. House Texas District 9,https://ballotpedia.org/Texas'_9th_Congressional_District,Al Green,Democratic
U.S. House Texas District 10,https://ballotpedia.org/Texas'_10th_Congressional_District,Michael McCaul,Republican
U.S. House Texas District 11,https://ballotpedia.org/Texas'_11th_Congressional_District,August Pfluger,Republican
U.S. House Texas District 12,https://ballotpedia.org/Texas'_12th_Congressional_District,Kay Granger,Republican
U.S. House Texas District 13,https://ballotpedia.org/Texas'_13th_Congressional_District,Ronny L. Jackson,Republican
U.S. House Texas District 14,https://ballotpedia.org/Texas'_14th_Congressional_District,Randy Weber,Republican
U.S. House Texas District 15,https://ballotpedia.org/Texas'_15th_Congressional_District,Monica De La Cruz,Republican
U.S. House Texas District 16,https://ballotpedia.org/Texas'_16th_Congressional_District,Veronica Escobar,Democratic
U.S. House Texas District 17,https://ballotpedia.org/Texas'_17th_Congressional_District,Pete Sessions,Republican
U.S. House Texas District 18,https://ballotpedia.org/Texas'_18th_Congressional_District,Sheila Jackson Lee,Democratic
U.S. House Texas District 19,https://ballotpedia.org/Texas'_19th_Congressional_District,Jodey Arrington,Republican
U.S. House Texas District 20,https://ballotpedia.org/Texas'_20th_Congressional_District,Joaquin Castro,Democratic
U.S. House Texas District 21,https://ballotpedia.org/Texas'_21st_Congressional_District,Chip Roy,Republican
U.S. House Texas District 22,https://ballotpedia.org/Texas'_22nd_Congressional_District,Troy Nehls,Republican
U.S. House Texas District 23,https://ballotpedia.org/Texas'_23rd_Congressional_District,Tony Gonzales,Republican
U.S. House Texas District 24,https://ballotpedia.org/Texas'_24th_Congressional_District,Beth Van Duyne,Republican
U.S. House Texas District 25,https://ballotpedia.org/Texas'_25th_Congressional_District,Roger Williams,Republican
U.S. House Texas District 26,https://ballotpedia.org/Texas'_26th_Congressional_District,Michael C. Burgess,Republican
U.S. House Texas District 27,https://ballotpedia.org/Texas'_27th_Congressional_District,Michael Cloud,Republican
U.S. House Texas District 28,https://ballotpedia.org/Texas'_28th_Congressional_District,Henry Cuellar,Democratic
U.S. House Texas District 29,https://ballotpedia.org/Texas'_29th_Congressional_District,Sylvia Garcia,Democratic
U.S. House Texas District 30,https://ballotpedia.org/Texas'_30th_Congressional_District,Jasmine Crockett,Democratic
U.S. House Texas District 31,https://ballotpedia.org/Texas'_31st_Congressional_District,John Carter,Republican
U.S. House Texas District 32,https://ballotpedia.org/Texas'_32nd_Congressional_District,Colin Allred,Democratic
U.S. House Texas District 33,https://ballotpedia.org/Texas'_33rd_Congressional_District,Marc Veasey,Democratic
U.S. House Texas District 34,https://ballotpedia.org/Texas'_34th_Congressional_District,Vicente Gonzalez Jr.,Democratic
U.S. House Texas District 35,https://ballotpedia.org/Texas'_35th_Congressional_District,Greg Casar,Democratic
U.S. House Texas District 36,https://ballotpedia.org/Texas'_36th_Congressional_District,Brian Babin,Republican
U.S. House Texas District 37,https://ballotpedia.org/Texas'_37th_Congressional_District,Lloyd Doggett,Democratic
U.S. House Texas District 38,https://ballotpedia.org/Texas'_38th_Congressional_District,Wesley Hunt,Republican
U.S. House Utah District 1,https://ballotpedia.org/Utah's_1st_Congressional_District,Blake Moore,Republican
U.S. House Utah District 2,https://ballotpedia.org/Utah's_2nd_Congressional_District,Vacant,
U.S. House Utah District 3,https://ballotpedia.org/Utah's_3rd_Congressional_District,John Curtis,Republican
U.S. House Utah District 4,https://ballotpedia.org/Utah's_4th_Congressional_District,Burgess Owens,Republican
U.S. House Vermont At-large District,https://ballotpedia.org/Vermont's_At-Large_Congressional_District,Becca Balint,Democratic
U.S. House Virgin Islands At-large District,https://ballotpedia.org/United_States_Virgin_Islands%27_Delegate_to_the_U.S._House_of_Representatives,Stacey Plaskett,Democratic
U.S. House Virginia District 1,https://ballotpedia.org/Virginia's_1st_Congressional_District,Robert J. Wittman,Republican
U.S. House Virginia District 2,https://ballotpedia.org/Virginia's_2nd_Congressional_District,Jennifer Kiggans,Republican
U.S. House Virginia District 3,https://ballotpedia.org/Virginia's_3rd_Congressional_District,Robert C. Scott,Democratic
U.S. House Virginia District 4,https://ballotpedia.org/Virginia's_4th_Congressional_District,Jennifer McClellan,Democratic
U.S. House Virginia District 5,https://ballotpedia.org/Virginia's_5th_Congressional_District,Bob Good,Republican
U.S. House Virginia District 6,https://ballotpedia.org/Virginia's_6th_Congressional_District,Benjamin Lee Cline,Republican
U.S. House Virginia District 7,https://ballotpedia.org/Virginia's_7th_Congressional_District,Abigail Spanberger,Democratic
U.S. House Virginia District 8,https://ballotpedia.org/Virginia's_8th_Congressional_District,Donald Sternoff Beyer Jr.,Democratic
U.S. House Virginia District 9,https://ballotpedia.org/Virginia's_9th_Congressional_District,H. Morgan Griffith,Republican
U.S. House Virginia District 10,https://ballotpedia.org/Virginia's_10th_Congressional_District,Jennifer Wexton,Democratic
U.S. House Virginia District 11,https://ballotpedia.org/Virginia's_11th_Congressional_District,Gerald Edward Connolly,Democratic
U.S. House Washington District 1,https://ballotpedia.org/Washington's_1st_Congressional_District,Suzan DelBene,Democratic
U.S. House Washington District 2,https://ballotpedia.org/Washington's_2nd_Congressional_District,Rick Larsen,Democratic
U.S. House Washington District 3,https://ballotpedia.org/Washington's_3rd_Congressional_District,Marie Gluesenkamp Pérez,Democratic
U.S. House Washington District 4,https://ballotpedia.org/Washington's_4th_Congressional_District,Dan Newhouse,Republican
U.S. House Washington District 5,https://ballotpedia.org/Washington's_5th_Congressional_District,Cathy McMorris Rodgers,Republican
U.S. House Washington District 6,https://ballotpedia.org/Washington's_6th_Congressional_District,Derek Kilmer,Democratic
U.S. House Washington District 7,https://ballotpedia.org/Washington's_7th_Congressional_District,Pramila Jayapal,Democratic
U.S. House Washington District 8,https://ballotpedia.org/Washington's_8th_Congressional_District,Kim Schrier,Democratic
U.S. House Washington District 9,https://ballotpedia.org/Washington's_9th_Congressional_District,D. Adam Smith,Democratic
U.S. House Washington District 10,https://ballotpedia.org/Washington's_10th_Congressional_District,Marilyn Strickland,Democratic
U.S. House West Virginia District 1,https://ballotpedia.org/West_Virginia's_1st_Congressional_District,Carol Miller,Republican
U.S. House West Virginia District 2,https://ballotpedia.org/West_Virginia's_2nd_Congressional_District,Alexander Mooney,Republican
U.S. House Wisconsin District 1,https://ballotpedia.org/Wisconsin's_1st_Congressional_District,Bryan Steil,Republican
U.S. House Wisconsin District 2,https://ballotpedia.org/Wisconsin's_2nd_Congressional_District,Mark Pocan,Democratic
U.S. House Wisconsin District 3,https://ballotpedia.org/Wisconsin's_3rd_Congressional_District,Derrick Van Orden,Republican
U.S. House Wisconsin District 4,https://ballotpedia.org/Wisconsin's_4th_Congressional_District,Gwen Moore,Democratic
U.S. House Wisconsin District 5,https://ballotpedia.org/Wisconsin's_5th_Congressional_District,Scott Fitzgerald,Republican
U.S. House Wisconsin District 6,https://ballotpedia.org/Wisconsin's_6th_Congressional_District,Glenn Grothman,Republican
U.S. House Wisconsin District 7,https://ballotpedia.org/Wisconsin's_7th_Congressional_District,Tom Tiffany,Republican
U.S. House Wisconsin District 8,https://ballotpedia.org/Wisconsin's_8th_Congressional_District,Mike Gallagher,Republican
U.S. House Wyoming At-large District,https://ballotpedia.org/Wyoming's_At-Large_Congressional_District,Harriet Hageman,Republican
